Article,Line,Type,Suggested action,Snippet
beauty-style/hair/short-hairstyle-tutorials-were-following-instagram/short-hairstyle-tutorials-were-following-instagram.mdx,38,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,"Pixie by hair, pixie by nature – Sarah calls herself ‘mermaid at heart, but a pixie in real life’ – she’s got the most a"
beauty-style/hair/short-hairstyle-tutorials-were-following-instagram/short-hairstyle-tutorials-were-following-instagram.mdx,67,SOCIAL/EMBED,"Convert to a proper link, follow-block, or video embed (VideoObject)",https://www.instagram.com/p/BUpbSkUD0Cg/?utm_source=ig_embedStory by Rikki Hodge-Smith
beauty-style/hair/sigourney-road-tests-a-hair-loss-preventing-strand-boosting-elixir/sigourney-road-tests-a-hair-loss-preventing-strand-boosting-elixir.mdx,108,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,"The new and improved Nioxin range is available now in all Nioxin salons. To find your nearest NIOXIN salon, use the salo"
beauty-style/cosmetic/max-laser-treatment-review/max-laser-treatment-review.mdx,45,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,For more information visit http://www.laserclinics.com.au/blog/clinic-locations/laser-clinics-australia-bondi-junction/
vodcast/episodes/talking-perimenopause-with-ashaya-founder-jodie-matthews/talking-perimenopause-with-ashaya-founder-jodie-matthews.mdx,41,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,Check out the Qure website to see their amazing innovations and transformations and shop with your 10% discount with thi
vodcast/episodes/talking-perimenopause-with-ashaya-founder-jodie-matthews/talking-perimenopause-with-ashaya-founder-jodie-matthews.mdx,45,RUN-INTO-WORD,URL concatenated to following text (e.g. .../salonReview). Split and link,Ultra Violette Queen Screen SPF50+ 50ml Luminising Skinscreen: https://bit.ly/4eSnXD6
vodcast/episodes/talking-perimenopause-with-ashaya-founder-jodie-matthews/talking-perimenopause-with-ashaya-founder-jodie-matthews.mdx,49,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,ashaya Re-Glow Perimenopause Relief: https://ashaya.com.au/products/re-glow-perimenopause-relief
vodcast/episodes/talking-perimenopause-with-ashaya-founder-jodie-matthews/talking-perimenopause-with-ashaya-founder-jodie-matthews.mdx,51,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,ashaya Kansa Wand: https://ashaya.com.au/products/kansa-wand
vodcast/episodes/talking-perimenopause-with-ashaya-founder-jodie-matthews/talking-perimenopause-with-ashaya-founder-jodie-matthews.mdx,53,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,ashaya In-Flow Face Oil:https://ashaya.com.au/products/in-flow-face-oil
vodcast/episodes/sigourneys-sacred-six-for-ultimate-wellness/sigourneys-sacred-six-for-ultimate-wellness.mdx,37,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- **Synergie**:https://synergieskin.com/6609868
vodcast/episodes/sigourneys-sacred-six-for-ultimate-wellness/sigourneys-sacred-six-for-ultimate-wellness.mdx,39,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- **Qure LED Mask**:https://www.qureskincare.com/SIGOURNEY57027 use link for 10% discount
vodcast/episodes/sigourneys-sacred-six-for-ultimate-wellness/sigourneys-sacred-six-for-ultimate-wellness.mdx,41,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- **San Lueur LED Mask**:https://sanlueur.com/products/advanced-led-light-therapy-facial-mask?ref=BEAUTICATE10 – use lin
vodcast/episodes/sigourneys-sacred-six-for-ultimate-wellness/sigourneys-sacred-six-for-ultimate-wellness.mdx,43,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- **Infraredi LED Pro Max**: https://infraredi.com?sca_ref=6635743.q68hvHA3xtfiQ and use code **SIGOURNEYCANTELO** for a
vodcast/episodes/leigh-campbell-part-2-fertility-struggles-social-media-self-care/leigh-campbell-part-2-fertility-struggles-social-media-self-care.mdx,29,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,With thanks to our sponsors Qure Skincare we are offering five lucky subscribers a chance to win one of their Qure Q-Rej
vodcast/episodes/leigh-campbell-part-2-fertility-struggles-social-media-self-care/leigh-campbell-part-2-fertility-struggles-social-media-self-care.mdx,31,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,To enter the competition visit Gleam: https://gleam.io/6gSX1/qure-subscriber-comp
vodcast/episodes/leigh-campbell-part-2-fertility-struggles-social-media-self-care/leigh-campbell-part-2-fertility-struggles-social-media-self-care.mdx,49,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- Shop her brand Brillo Beauty here: https://brillobeauty.com/
vodcast/episodes/lifestyle-journalist-leigh-campbell-on-loss-love-and-adult-adhd/lifestyle-journalist-leigh-campbell-on-loss-love-and-adult-adhd.mdx,53,BARE-URL,Bare URL floating in body. Convert to a clean link or remove,- **Shop her brand Brillo Beauty here:** https://brillobeauty.com/ .
